delta_over_gamma_e,Re_chi_full,Im_chi_full,Re_chi_cut,Im_chi_cut,Re_R_S,Im_R_S
-1.071,0.5021407972804889,-0.4992500853911098,0.4657572910810739,-0.49882605874783015,0.036383506199414994,-0.00042402664327967354
-1.0699999999999998,0.5026780308124794,-0.4992452806998984,0.46622220150123556,-0.498857755606322,0.03645582931124386,-0.00038752509357636855
-1.069,0.5032158992972008,-0.49923988577513956,0.466687605383895,-0.4988890501553837,0.03652829391330581,-0.00035083561975585154
-1.068,0.5037544030830948,-0.49923389850890026,0.4671535029038261,-0.49891994110128635,0.0366009001792687,-0.00031395740761391844
-1.067,0.504293542515854,-0.4992273167869718,0.4676198942337323,-0.49895042714739235,0.03667364828212172,-0.00027688963957944734
-1.0659999999999998,0.504833317938401,-0.49922013848885444,0.46808677954423333,-0.49898050699415264,0.036746538394167694,-0.00023963149470179745
-1.065,0.5053737296908676,-0.49921236148774095,0.4685541590038539,-0.4990101793391044,0.03681957068701369,-0.0002021821486365427
-1.064,0.5059147781105748,-0.4992039836505017,0.46902203277901183,-0.4990394428768686,0.036892745331563004,-0.00016454077363314834
-1.063,0.5064564635320111,-0.4991950028376672,0.46949040103400574,-0.49906829629914806,0.03696606249800538,-0.00012670653851915015
-1.0619999999999998,0.5069987862868106,-0.49918541690341406,0.46995926393100257,-0.4990967382947246,0.03703952235580804,-8.867860868944089e-05
-1.061,0.5075417467037335,-0.4991752236955471,0.4704286216300258,-0.49912476754945734,0.03711312507370773,-5.045614608978344e-05
-1.06,0.5080853451086439,-0.4991644210554854,0.47089847428894327,-0.49915238274627993,0.037186870819700624,-1.2038309205486541e-05
-1.059,0.5086295818244887,-0.499153006818245,0.4713688220634547,-0.4991795825651985,0.03726075976103399,2.6575746953527712e-05
-1.0579999999999998,0.5091744571712746,-0.49914097881242236,0.47183966510707936,-0.4992063656832899,0.037334792064195266,6.538687086754535e-05
-1.057,0.509719971466049,-0.49912833486018066,0.47231100357114353,-0.49923273077469865,0.03740896789490544,0.00010439591451799624
-1.056,0.5102661250228763,-0.49911507277723094,0.4727828376047687,-0.49925867651063577,0.03748328741810758,0.00014360373340482901
-1.055,0.5108129181528168,-0.49910119037281836,0.4732551673548586,-0.49928420155937586,0.0375577507979582,0.00018301118655750237
-1.054,0.5113603511639045,-0.4990866854497042,0.4737279929660868,-0.4993093045862555,0.03763235819781774,0.00022261913655130527
-1.053,0.5119084243611254,-0.49907155580415136,0.4742013145808843,-0.49933398425367115,0.037707109780241055,0.0002624284495197915
-1.052,0.5124571380463944,-0.49905579922590715,0.4746751323394268,-0.4993582392210771,0.03778200570696755,0.00030243999516993414
-1.051,0.5130064925185345,-0.4990394134981874,0.4751494463796226,-0.4993820681449833,0.03785704613891189,0.0003426546467958924
-1.05,0.5135564880732522,-0.4990223963976603,0.47562425683709864,-0.4994054696789536,0.037932231236153524,0.0003830732812933335
-1.049,0.5141071250031173,-0.4990047456944303,0.47609956384518964,-0.4994284424736039,0.03800756115792764,0.00042369677917358795
-1.048,0.5146584035975386,-0.49898645915202194,0.47657536753492347,-0.4994509851765998,0.038083036062615094,0.0004645260245778604
-1.047,0.5152103241427419,-0.4989675345273631,0.47705166803500987,-0.4994730964326553,0.03815865610773206,0.0005055619052922178
-1.046,0.5157628869217464,-0.4989479695707691,0.4775284654718268,-0.4994947748835309,0.03823442144991962,0.0005468053127618
-1.045,0.5163160922143429,-0.49892776202592665,0.47800575996940764,-0.49951601916803096,0.0383103322449353,0.0005882571421043092
-1.044,0.5168699402970693,-0.49890690962987644,0.47848355164942846,-0.4995368279220033,0.03838638864764088,0.0006299182921268853
-1.043,0.5174244314431883,-0.49888541011299836,0.47896184063119507,-0.49955719977833646,0.038462590811993214,0.0006717896653380961
-1.042,0.5179795659226637,-0.49886326119899443,0.4794406270316297,-0.49957713336695814,0.03853893889103399,0.0007138721679637028
-1.041,0.5185353440021369,-0.498840460604871,0.47991991096525816,-0.4995966273148337,0.0386154330368787,0.0007561667099626468
-1.04,0.5190917659449035,-0.49881700604092516,0.4803996925441967,-0.4996156802459646,0.038692073400706795,0.0007986742050394291
-1.039,0.519648832010889,-0.49879289521072523,0.48087997187813936,-0.49963429078138677,0.038768860132749605,0.0008413955706615406
-1.038,0.5202065424566253,-0.4987681258110976,0.4813607490743433,-0.4996524575391683,0.03884579338228206,0.0008843317280707308
-1.037,0.5207648975352283,-0.4987426955321071,0.4818420242376175,-0.4996701791344093,0.03892287329761074,0.0009274836023022148
-1.036,0.5213238974963701,-0.4987166020570423,0.4823237974703081,-0.49968745417923927,0.03900010002606197,0.0009708521221969413
-1.035,0.5218835425862586,-0.49868984306239855,0.4828060688722858,-0.49970428128281574,0.0390774737139728,0.001014438220417191
-1.034,0.5224438330476113,-0.4986624162178613,0.48328883854093163,-0.49972065905132335,0.0391549945066797,0.0010582428334620642
-1.033,0.5230047691196308,-0.4986343191862898,0.48377210657112496,-0.499736586087972,0.039232662548505826,0.0011022669016821918
-1.032,0.5235663510379805,-0.4986055496237002,0.4842558730552284,-0.49975206099299574,0.03931047798275217,0.0011465113692955553
-1.031,0.5241285790347608,-0.4985761051792493,0.48474013808307576,-0.499767082363651,0.03938844095168509,0.0011909771844017536
-1.03,0.5246914533384823,-0.4985459834952172,0.4852249017419574,-0.49978164879421616,0.0394665515965249,0.0012356652989989336
-1.029,0.5252549741740429,-0.4985151822069919,0.4857101641166074,-0.499795758875989,0.03954481005743549,0.0012805766689970577
-1.028,0.5258191417627015,-0.4984836989430515,0.4861959252891893,-0.4998094111972866,0.03962321647351219,0.0013257122542351119
-1.027,0.526383956322053,-0.4984515313249471,0.4866821853392833,-0.4998226043434439,0.039701770982769724,0.0013710730184968156
-1.026,0.5269494180660034,-0.49841867696728825,0.4871689443438711,-0.49983533689681175,0.03978047372213228,0.0014166599295235005
-1.025,0.5275155272047435,-0.4983851334777239,0.48765620237732404,-0.4998476074367571,0.03985932482741944,0.0014624739590332059
-1.024,0.5280822839447245,-0.4983508984569264,0.4881439595113874,-0.4998594145396607,0.03993832443333706,0.0015085160827342792
-1.023,0.5286496884886311,-0.4983159694985752,0.488632215815168,-0.49987075677891685,0.04001747267346312,0.0015547872803416407
-1.022,0.5292177410353567,-0.4982803441893394,0.48912097135511945,-0.4998816327249321,0.04009676968023723,0.0016012885355926598
-1.021,0.5297864417799762,-0.4982440201088615,0.4896102261950285,-0.499892040945124,0.04017621558494777,0.0016480208362625315
-1.02,0.5303557909137215,-0.49820699482974046,0.4900999803960007,-0.4999019800039208,0.040255810517720814,0.001694985174180319
-1.019,0.5309257886239538,-0.4981692659175134,0.4905902340164476,-0.49991144846276003,0.04033555460750621,0.0017421825452466067
-1.018,0.5314964350941377,-0.4981308309306415,0.49108098711207054,-0.4999204448800878,0.04041544798206714,0.0017896139494463226
-1.017,0.5320677305038154,-0.49809168742049004,0.4915722397358488,-0.4999289678113582,0.0404954907679666,0.0018372803908681679
-1.016,0.532639675028579,-0.49805183293131444,0.4920639919380236,-0.49993701580903194,0.040575683090555426,0.001885182877717495
-1.015,0.5332122688400445,-0.4980112650002401,0.49255624376608503,-0.49994458742257625,0.040656025073959434,0.0019333224223361256
-1.014,0.5337855121058241,-0.49796998115724866,0.4930489952647575,-0.49995168119846406,0.04073651684106666,0.001981700041215395
-1.013,0.5343594049895006,-0.4979279789251587,0.49354224647598505,-0.49995829568017275,0.04081715851351558,0.0020303167550140278
-1.012,0.5349339476505987,-0.49788525581960924,0.49403599743891735,-0.49996442940818436,0.0408979502116813,0.002079173588575123
-1.011,0.535509140244558,-0.49784180934904393,0.4945302481898957,-0.4999700809199845,0.040978892054662264,0.0021282715709405875
-1.01,0.5360849829227068,-0.49779763701469176,0.49502499876243755,-0.49997524875006194,0.041059984160269236,0.0021776117353701774
-1.009,0.5366614758322332,-0.49775273631055245,0.49552024918722304,-0.499979931429908,0.04114122664501019,0.0022271951193555406
-1.008,0.5372386191161571,-0.4977071047233771,0.49601599949207964,-0.49998412748801624,0.04122261962407747,0.002277022764639147
-1.007,0.5378164129133045,-0.4976607397326531,0.49651224970196856,-0.4999878354498823,0.041304163211335954,0.002327095717229166
-1.006,0.5383948573582765,-0.49761363881058523,0.4970089998389691,-0.4999910538380029,0.0413858575193074,0.002377415027417673
-1.005,0.5389739525814238,-0.49756579942207985,0.4975062499222648,-0.49999378117187604,0.041467702659159,0.002427981749796193
