Gamma_over_gamma_e,abs_R_full_optical,abs_R_all_coherences,abs_R_selective_e2,abs_R_class_I
0.1329675967466212,0.6736251575153596,0.27677334613813764,0.7853823678407339,0.0
0.14033215376054847,0.6681667704442265,0.26507486539213887,0.7853177271198648,1.342009018531613e-16
0.14810460488806748,0.6624850159728385,0.2535236362350706,0.785249585274399,2.220446049250313e-16
0.1563075417945816,0.6565747270734136,0.24213897129339504,0.7851777576842078,7.433293342242849e-17
0.164964807409802,0.6504310152331481,0.23093945907167981,0.7851020506112586,1.1102230246251565e-16
0.17410156523040154,0.6440493166798985,0.21994285578267395,0.7850222608289577,1.1102230246251565e-16
0.18374437246107259,0.6374254408954682,0.20916598493910726,0.7849381752476122,1.3264196965869574e-16
0.1939212572065829,0.630555621201624,0.19862464569209046,0.7848495705378985,1.1102230246251565e-16
0.20466179993919897,0.6234365671494955,0.18833353075369624,0.7847562127546072,0.0
0.21599721947827183,0.6160655183853573,0.17830615458604604,0.784657856963364,7.062108388684358e-17
0.22796046373189796,0.6084402996057163,0.16855479238013105,0.7845542468735234,6.992025875902071e-17
0.24058630546440657,0.6005593761530542,0.15909043018853866,0.7844451144809912,0.0
0.25391144336803473,0.592421909741599,0.1499227264207483,0.7843301797253894,0.0
0.26797460873256906,0.5840278137414945,0.14105998476074577,0.7842091501667046,1.1102230246251565e-16
0.28281667802300325,0.5753778073911407,0.13250913842681128,0.7840817206874062,0.0
0.2984807916924326,0.5664734682529993,0.12427574556438477,0.7839475732269793,0.0
0.31501247957553274,0.5573172821795745,0.11636399544610153,0.7838063765568882,1.1102230246251565e-16
0.332459793227094,0.5479126900155077,0.10877672504916792,0.7836577861052306,1.1102230246251565e-16
0.3508734455902711,0.538264130230683,0.10151544548933504,0.7835014438417128,1.278663145053758e-16
0.3703069584005139,0.5283770766598825,0.09458037771259947,0.7833369782351527,1.1102230246251565e-16
0.3908168177536264,0.5182580705186901,0.08797049677978273,0.7831640042974677,1.1102230246251565e-16
0.412462638290135,0.5079147458746821,0.08168358402450755,0.7829821237300856,0.0
0.43530733647318876,0.4973558477789302,0.07571628632081846,0.782790925190918,5.961683709663529e-17
0.4594173134636474,0.4865912423065355,0.07006418166182281,0.7825899847025014,5.860729995933602e-17
0.4848626481239078,0.47563191781702857,0.06472185022433687,0.7823788662246464,0.0
0.5117173007114605,0.4644899768261858,0.05968295007581248,0.7821571224179547,1.2458436563971627e-16
0.5400593278542372,0.4531786179797873,0.05494029666823781,0.7819242956278989,0.0
0.5699711094326075,0.44171210773609837,0.050485945258835804,0.7816799191227971,1.1102230246251565e-16
0.6015395880274835,0.43010574149586084,0.04631127539907956,0.7814235186229787,0.0
0.6348565216305216,0.4183757940640908,0.04240707664184175,0.7811546141627078,1.1102230246251565e-16
0.6700187503509587,0.4065394594842662,0.03876363463156956,0.7808727223309958,5.1017610446330555e-17
0.7071284778942997,0.3946147804492059,0.035370816764510565,0.7805773589422544,1.1102230246251565e-16
0.7462935686310134,0.38262056766039604,0.032218156635543393,0.7802680421927675,0.0
0.7876278611187055,0.370576309674622,0.029294936525329978,0.7799442963640835,0.0
