T_K,Bx_T,C_full,C_reduced,ratio_full_reduced,rel_err,sign_agree,klass_full
80.0,0.1,0.0010603774096813135,0.0009656368918696806,1.098111949335526,0.09811194933552603,True,transparency
80.0,0.15,0.0011636167374938393,0.0010552230795520957,1.102721083382438,0.10272108338243784,True,transparency
80.0,0.2,0.0012456410830587784,0.0011810595135648095,1.054681045918712,0.05468104591871189,True,transparency
80.0,0.23226114680059184,0.0012943264434896774,0.0012606910163124275,1.0266801513947763,0.02668015139477626,True,transparency
80.0,0.3,0.0013508654555312732,0.0013469654423499428,1.0028954070080123,0.0028954070080123035,True,transparency
80.0,0.4,0.0013714190422098784,0.0013576133693673274,1.010169075492373,0.010169075492372814,True,transparency
80.0,0.5,0.0013570480562637636,0.001309456936490573,1.0363441656208547,0.0363441656208548,True,transparency
90.0,0.0,-5.122259346429246e-06,-4.839319382151013e-06,1.0584668921257414,0.05846689212574152,True,absorption
90.0,0.05,6.911038817993152e-05,5.0634529377343695e-05,1.3648865513274586,0.36488655132745856,True,transparency
90.0,0.1,0.00011844772252055468,7.791161312055939e-05,1.5202832771190382,0.5202832771190382,True,transparency
90.0,0.15,0.0001304343675146442,8.265166027700166e-05,1.5781215655862435,0.5781215655862436,True,transparency
90.0,0.2,0.00014004160822546555,9.638518738601185e-05,1.452937033411728,0.45293703341172786,True,transparency
90.0,0.23226114680059184,0.00014579834965927464,0.00010751350999749633,1.3560932915562878,0.3560932915562877,True,transparency
90.0,0.3,0.0001541035258967755,0.00012537069497186714,1.2291829915384607,0.22918299153846075,True,transparency
90.0,0.4,0.0001597871406746909,0.00014134922857780643,1.130442254849203,0.13044225484920308,True,transparency
90.0,0.5,0.0001610878271395349,0.00014954246818398267,1.077204549956658,0.07720454995665797,True,transparency
100.0,0.0,-1.8652261953022199e-06,-1.8415320697762956e-06,1.012866528861918,0.012866528861917997,True,absorption
100.0,0.05,9.805281773224406e-06,2.7024889792163457e-06,3.6282411690232657,2.6282411690232657,True,unresolved
100.0,0.1,1.681040382610448e-05,1.1953307244137789e-06,14.063391396844365,13.063391396844365,True,unresolved
100.0,0.15,-1.9591368962460627e-05,3.5833229501470336e-08,-546.737462266881,547.737462266881,False,absorption
100.0,0.2,-2.0147724673925704e-05,1.2842016096955095e-06,-15.688910932530936,16.688910932530938,False,absorption
100.0,0.23226114680059184,2.0777754456207517e-05,2.725627096739032e-06,7.623109735394925,6.623109735394925,True,unresolved
100.0,0.3,2.204998868237796e-05,5.395466467810544e-06,4.086762250109163,3.0867622501091634,True,unresolved
100.0,0.4,2.2988463905946658e-05,8.369990153736252e-06,2.7465341635658813,1.7465341635658813,True,unresolved
100.0,0.5,2.3359585402901136e-05,1.0465707005292675e-05,2.2320121699458833,1.2320121699458835,True,unresolved
105.0,0.0,-1.1552819788548522e-06,-1.1550396337960096e-06,1.0002098153619596,0.0002098153619595384,True,absorption
105.0,0.05,-4.379718742386256e-06,-4.545215962596262e-07,9.63588700389173,8.63588700389173,True,absorption
105.0,0.1,-9.879291728882975e-06,-2.927984302129668e-06,3.3740931335244104,2.3740931335244104,True,absorption
105.0,0.15,-1.1984098926745855e-05,-4.032662724148777e-06,2.971758301278588,1.9717583012785882,True,absorption
105.0,0.2,-1.2518343702943401e-05,-3.782959435940673e-06,3.309140347636475,2.3091403476364754,True,absorption
105.0,0.23226114680059184,-1.2491017856364563e-05,-3.2779125087633898e-06,3.8106623721561337,2.8106623721561337,True,absorption
105.0,0.3,-1.2251504853986688e-05,-2.263795052975338e-06,5.411931984692854,4.411931984692855,True,absorption
105.0,0.4,-1.184445548897044e-05,-1.0475596527074977e-06,11.306712184225063,10.306712184225063,True,absorption
105.0,0.5,-1.1545272087154e-05,-1.3239901215499256e-07,87.20059084457938,86.2005908445794,True,absorption
110.0,0.0,-7.209227211851621e-07,-7.368317127355578e-07,0.9784089212293373,0.021591078770662634,True,unresolved
110.0,0.05,-2.8100538006427927e-06,-1.1280043271546913e-06,2.491172890915187,1.4911728909151871,True,absorption
110.0,0.1,-6.249200426156823e-06,-3.2980400289998207e-06,1.894822491906499,0.8948224919064991,True,absorption
110.0,0.15,-7.539889606714237e-06,-4.146605038611128e-06,1.8183283762274265,0.8183283762274266,True,absorption
110.0,0.2,-7.889882695998622e-06,-4.195500615133908e-06,1.8805581073062958,0.8805581073062957,True,absorption
110.0,0.23226114680059184,-7.93363732681923e-06,-4.032415705928772e-06,1.9674651388631827,0.9674651388631829,True,absorption
110.0,0.3,-7.907079679389684e-06,-3.6567347793545613e-06,2.162333381144294,1.1623333811442944,True,absorption
110.0,0.4,-7.79728665206155e-06,-3.163995624205781e-06,2.4643797205057156,1.464379720505716,True,absorption
110.0,0.5,-7.696781380590462e-06,-2.77169176251499e-06,2.7769254448433047,1.7769254448433047,True,absorption
