Bx_T,phonon_model,threshold,n_valid,n_in_model,q16,median,q84
0.25,full_happacher,T_0.1pct,130,130,76.26125738139392,81.22706114721765,86.82445700855534
0.25,full_happacher,T_0.01pct,130,130,84.90161270810322,90.76084749115853,97.0812038083398
0.25,full_happacher,T_sign,130,130,95.89231821527815,101.75907986660707,110.18702900474443
0.25,conservative_lower_bound,T_1pct,116,116,67.12127382007466,72.14270389873383,76.12539347670202
0.25,conservative_lower_bound,T_0.1pct,116,116,76.30893150064699,82.03117695110808,86.63977439606396
0.25,conservative_lower_bound,T_0.01pct,116,116,85.1167898446571,91.58908234579329,96.83295133807975
0.25,conservative_lower_bound,T_sign,116,116,95.29836347681734,103.2476884130937,109.76283089718422
0.25,saturation,T_1pct,130,130,67.52417212137513,72.00583069652438,76.46095792390885
0.25,saturation,T_0.1pct,130,130,76.71287697647014,81.69275880359646,87.02083890717407
0.25,saturation,T_0.01pct,130,130,85.42580640746407,91.08885501625679,97.22955045168838
0.25,saturation,T_sign,130,130,95.70015320364863,103.24991387654751,110.06004628575879
0.25,naive_T5_extrapolation,T_1pct,124,124,66.12629657875253,70.35334456213742,75.24158005746156
0.25,naive_T5_extrapolation,T_0.1pct,124,124,74.57769229225256,79.38281082760943,84.98425583565272
0.25,naive_T5_extrapolation,T_0.01pct,124,124,82.3418780162442,87.84478036993039,93.99378101845446
0.25,naive_T5_extrapolation,T_sign,124,124,91.4214697211804,97.26847424320346,104.035026146341
0.3,full_happacher,T_1pct,124,124,66.4022749435756,70.86063758191935,75.12698884011843
0.3,full_happacher,T_0.1pct,124,124,75.47858697180247,80.85804076047529,85.95842764598528
0.3,full_happacher,T_0.01pct,124,124,84.10453736787574,90.32628949009586,96.16969713318086
0.3,full_happacher,T_sign,124,124,95.25268465934852,102.23427296826907,109.46008421593257
0.3,conservative_lower_bound,T_1pct,122,122,67.08181984525976,71.38097579959359,75.13789116716751
0.3,conservative_lower_bound,T_0.1pct,122,122,76.33690236647904,81.66227866784749,85.94802170124119
