T,Bx,Bz,Oc,j,z,pp,cc,joint,C,Acut,dA
48.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.6490854711414668,0.012568197152540726,0.008157834170155738
48.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.6241515386593088,0.012192430414484506,0.0076099242031970596
49.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.598586165160103,0.011850311898380922,0.007093432755202977
49.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.5725084837629189,0.0115396991587271,0.006606575668443082
50.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.5460477655779928,0.01125858421320852,0.006147724753194177
50.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.5193411601656882,0.011005077786203969,0.0057153898652008124
51.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.49253110437000286,0.010777394946063553,0.005308202235016369
51.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.46576249475648285,0.010573842043695788,0.004924899049432737
52.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.43917973615361466,0.010392804878649487,0.004564309304501281
52.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.41292378881233194,0.010232738035988839,0.004225340959744571
53.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.3871293383151946,0.010092155352679202,0.003906969423856849
53.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.36192220528402813,0.009969621485694177,0.0036082273939494654
54.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.3374170967537952,0.00986374456532684,0.0033281960543536083
54.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.31371577923525984,0.009773169925915936,0.0030659976189073247
55.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.2909057270585606,0.009696574912049775,0.002820789174767638
55.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.26905927102410293,0.009632664760978009,0.0025917577586083078
56.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.24823324419568074,0.009580169561186607,0.0023781165701180626
56.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.22846909612357316,0.009537842282702992,0.0021791022052983504
57.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.2097934256740897,0.009504457866641572,0.0019939727750177857
57.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.1922188671295664,0.009478813349873369,0.0018220067638452693
58.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.17574525479484165,0.009459728985783901,0.0016625024808967408
58.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.16036098785618,0.009446050304350398,0.0015147779581447995
59.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.14604451902519472,0.009436651034911718,0.0013781711616022878
59.5,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.1327658965472093,0.009430436793916364,0.001252040395776096
60.0,0.23226114680059184,0.005,0.1,3,0.26283146149918846,0.11262551378825135,0.42372620549465234,0.21845452982115385,0.12048829826142572,0.00942634941868898,0.0011357648002754148
