T,Bx,Bz,Oc,j,z,pp,cc,joint,C,Acut,dA,strain_GHz,strain_azimuth_deg
70.0,0.23226114680059184,0.005,0.1,3,0.25765559532745,0.11010935360323788,0.43074776093153716,0.21778282191718795,0.013622912073688194,0.008634336750359066,0.0001176248103647562,1.75,0
70.0,0.23226114680059184,0.005,0.1,3,0.25713080267974797,0.11074133406987631,0.42571665304587697,0.21712768154720183,0.013558164294373301,0.008676057070661713,0.00011763140719139066,1.75,15
70.0,0.23226114680059184,0.005,0.1,3,0.2555372923978034,0.11269011229796094,0.4109522991339559,0.2151981894405962,0.013373346139331402,0.008798244217172973,0.000117661965334625,1.75,30
70.0,0.23226114680059184,0.005,0.1,3,0.2528079031441758,0.11612044381548128,0.3874199319084646,0.21210227352900876,0.013094141018688383,0.008992225050139148,0.00011774546287830421,1.75,45
70.0,0.23226114680059184,0.005,0.1,3,0.2487988778096142,0.1213281333892085,0.35665723865758997,0.2080205687572141,0.012755878834786833,0.009244345029953034,0.00011791974510904477,1.75,60
70.0,0.23226114680059184,0.005,0.1,3,0.2432446947392249,0.12877379605926717,0.32067247847556274,0.20320977423596498,0.012395624980950141,0.009537078812272485,0.00011821805237069511,1.75,75
70.0,0.23226114680059184,0.005,0.1,3,0.23570070483525926,0.1391367096878968,0.2818129188867967,0.19801646972272544,0.012045627679909087,0.009850417807323115,0.00011865446539856069,1.75,90
70.0,0.23226114680059184,0.005,0.1,3,0.2328819897002472,0.10120722304783836,0.457110921194672,0.2150881841453687,0.013697245712499247,0.008479418048401926,0.00011614467250796202,2.0,0
70.0,0.23226114680059184,0.005,0.1,3,0.23250325112085551,0.10178535917650582,0.4514106571271242,0.21435250376841145,0.013620355200099306,0.008526784150186985,0.00011613782884012364,2.0,15
70.0,0.23226114680059184,0.005,0.1,3,0.23136443568272913,0.10357848972982547,0.4346840920686712,0.21218841100789027,0.013401665293227095,0.00866546199964736,0.0001161316213304523,2.0,30
70.0,0.23226114680059184,0.005,0.1,3,0.22944697070042655,0.10677180468645055,0.4080295181554222,0.20872481409453278,0.013073571265889643,0.008885481384193913,0.00011616497410799488,2.0,45
70.0,0.23226114680059184,0.005,0.1,3,0.2266847305993351,0.11170489146456938,0.37319717618876563,0.20417627203240302,0.012679959008850323,0.009171162871278078,0.00011628996927129605,2.0,60
70.0,0.23226114680059184,0.005,0.1,3,0.2229134560718981,0.11892171013682717,0.33247290096388044,0.1988422640103875,0.012265845514180265,0.009502414096504498,0.00011655514331949302,2.0,75
70.0,0.23226114680059184,0.005,0.1,3,0.21780329723170302,0.12924995835683833,0.2885246691050321,0.19311085279379292,0.01186921976121093,0.009856342209967296,0.00011698709173180123,2.0,90
70.0,0.23226114680059184,0.005,0.1,3,0.19543227847450115,0.10278706607170761,0.39013994695624155,0.2002531909983052,0.012582382463429706,0.009103259150667098,0.00011454068829740968,2.25,60
70.0,0.23226114680059184,0.005,0.1,3,0.1934389465363601,0.10982682676162166,0.3448594761451754,0.19461454710195686,0.012114423849050513,0.009472178796025136,0.00011474998870903749,2.25,75
