two_photon_detuning_GHz,two_photon_detuning_MHz,A_control_off,transparency_reduction,A_control_on,C
-0.0060999999999999995,-6.1,0.008676964579288187,1.2260212369436353e-06,0.008675738558051243,0.0001412960979315432
-0.0060750000000000005,-6.075,0.008676964579288187,1.2314724658605274e-06,0.008675733106822327,0.00014192433939399013
-0.00605,-6.05,0.008676964579288187,1.2369720009703745e-06,0.008675727607287216,0.0001425581480328976
-0.006024999999999999,-6.0249999999999995,0.008676964579288187,1.2425204828383362e-06,0.00867572205880535,0.00014319759767191144
-0.006,-6.0,0.008676964579288187,1.2481185633380022e-06,0.008675716460724849,0.00014384276343794772
-0.005974999999999999,-5.975,0.008676964579288187,1.253766905900742e-06,0.008675710812382286,0.0001444937217899297
-0.00595,-5.95,0.008676964579288187,1.2594661857716341e-06,0.008675705113102415,0.00014515055054828334
-0.005925,-5.925,0.008676964579288187,1.2652170902722139e-06,0.008675699362197916,0.00014581332892521796
-0.005899999999999999,-5.899999999999999,0.008676964579288187,1.271020319070214e-06,0.008675693558969117,0.00014648213755581355
-0.005875,-5.875,0.008676964579288187,1.276876584456544e-06,0.008675687702703732,0.00014715705852994183
-0.005849999999999999,-5.85,0.008676964579288187,1.2827866116297227e-06,0.008675681792676557,0.0001478381754250466
-0.005825,-5.825,0.008676964579288187,1.288751138987995e-06,0.0086756758281492,0.00014852557333980927
-0.0058,-5.8,0.008676964579288187,1.2947709184293856e-06,0.008675669808369759,0.0001492193389287296
-0.005774999999999999,-5.774999999999999,0.008676964579288187,1.3008467156599291e-06,0.008675663732572527,0.00014991956043764831
-0.00575,-5.75,0.008676964579288187,1.3069793105103495e-06,0.008675657599977677,0.00015062632774024383
-0.005724999999999999,-5.724999999999999,0.008676964579288187,1.3131694972614477e-06,0.008675651409790926,0.00015133973237553233
-0.0057,-5.7,0.008676964579288187,1.3194180849784797e-06,0.00867564516120321,0.00015205986758640402
-0.0056749999999999995,-5.675,0.008676964579288187,1.3257258978548257e-06,0.008675638853390332,0.00015278682835923035
